id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_il_6m,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,issue_d
188978561034,null,25000.0,25000,25000.0,60 months,28.72%,789.3,F,F1,ASSISTANT MANAGER,10+ years,OWN,70000.0,Not Verified,Current,n,null,null,home_improvement,Home improvement,224xx,VA,34.2,1.0,Nov-2006,1,15,null,18,0,548,1.5%,36.0,w,24613.50,24613.5,1538.71,1538.71,386.5,1152.21,0.0,0.0,0.0,Aug-2017,789.3,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,46143,3,4,4,5,2,45595,90,2,3,182,52,37200,2,1,2,8,2564,26777,1.2,0.0,0,126.0,125,1,1,0,1,39,2,15,0,2,4,10,11,19,14,17,4,18,0,0,0,6,94.4,0.0,0,0,88085,46143,27100,50885,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561035,null,20000.0,20000,20000.0,36 months,7.07%,618.19,A,A2,Occupational Therapist,< 1 year,MORTGAGE,45000.0,Source Verified,Current,n,null,null,home_improvement,Home improvement,531xx,WI,15.15,0.0,Jan-1989,0,null,84,11,1,10471,22.1%,14.0,w,18996.34,18996.34,1228.52,1228.52,1003.66,224.86,0.0,0.0,0.0,Aug-2017,618.19,Sep-2017,May-2017,0,null,1,JOINT,195000,12.4,Not Verified,0,0,361032,3,1,0,1,17,15424,75,3,4,5349,38,47300,2,0,0,5,32821,30896,14.9,0.0,0,166.0,340,4,4,2,6,null,17,null,0,2,5,4,4,2,8,10,5,11,0,0,0,3,100.0,0.0,1,0,512559,25895,36300,20609,41704,Aug-2001,0,2,15,15.9,3,11,0,0,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561036,null,20000.0,20000,20000.0,60 months,12.62%,451.19,C,C1,Senior Consultant,5 years,MORTGAGE,125000.0,Not Verified,Current,n,null,null,home_improvement,Home improvement,300xx,GA,14.29,0.0,Aug-2001,1,30,null,9,0,30762,78.5%,25.0,w,19515.75,19515.75,874.34,874.34,484.25,390.09,0.0,0.0,0.0,Aug-2017,451.19,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,46910,1,1,0,0,32,16148,null,1,1,11514,79,39200,0,0,2,1,5212,2022,90.4,0.0,0,115.0,189,5,5,5,5,null,0,null,0,3,6,3,6,9,8,11,6,9,0,0,0,1,88.0,100.0,0,0,87088,46910,21000,47888,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561037,null,25000.0,25000,25000.0,60 months,14.08%,582.75,C,C3,Engineer,5 years,MORTGAGE,76000.0,Not Verified,Current,n,null,null,major_purchase,Major purchase,972xx,OR,1.08,0.0,Dec-1999,1,24,null,5,0,2301,7.4%,8.0,w,24417.77,24417.77,1126.39,1126.39,582.23,544.16,0.0,0.0,0.0,Aug-2017,582.75,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,294426,0,0,0,0,null,0,null,0,2,1683,7,30900,4,0,5,4,73607,28599,7.4,0.0,0,null,209,16,8,2,16,24,0,24,0,3,3,4,5,0,4,6,3,5,0,0,0,1,100.0,0.0,0,0,325900,2301,30900,0,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561038,null,35000.0,35000,35000.0,60 months,30.17%,1136.03,F,F3,Nurse,10+ years,MORTGAGE,100000.0,Not Verified,Current,n,null,null,home_improvement,Home improvement,021xx,MA,13.13,2.0,Sep-2000,0,3,null,11,0,11622,45.4%,26.0,w,34481.42,34481.42,2506.72,2506.72,518.58,1988.14,0.0,0.0,0.0,Aug-2017,1136.03,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,424992,2,3,0,2,14,53052,80,2,7,9927,71,25600,4,5,5,10,38636,6873,59.1,0.0,0,75.0,200,3,3,4,3,null,4,7,0,1,4,4,7,9,7,13,4,11,0,0,0,3,92.3,25.0,0,0,452984,64674,16800,66134,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561039,null,11000.0,11000,11000.0,60 months,13.59%,253.62,C,C2,Staff Accountant,1 year,OWN,69000.0,Source Verified,Current,n,null,null,credit_card,Credit card refinancing,137xx,NY,17.57,1.0,Jul-1988,0,16,null,11,0,13339,69.8%,29.0,w,10740.44,10740.44,528.01,528.01,259.56,268.45,0.0,0.0,0.0,Aug-2017,253.62,Sep-2017,Aug-2017,0,16,1,INDIVIDUAL,null,null,null,0,0,44307,0,2,0,1,13,30968,64,0,0,0,66,19100,0,2,0,1,4431,null,null,0.0,0,174.0,346,31,13,1,null,null,null,44,2,0,6,0,7,5,9,23,6,11,0,0,1,0,89.7,null,0,0,67669,44307,0,48569,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561040,null,19300.0,19300,19300.0,60 months,30.84%,634.42,G,G2,Online services tech support,7 years,RENT,42000.0,Verified,Current,n,null,null,credit_card,Credit card refinancing,146xx,NY,16.46,0.0,Oct-2005,0,null,72,8,1,5337,38.1%,13.0,f,19019.62,19019.62,1235.77,1235.77,280.38,955.39,0.0,0.0,0.0,Aug-2017,634.42,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,25282,3,2,1,1,12,12904,54,4,5,2921,55,14000,2,1,2,7,3160,263,95.3,0.0,0,139.0,13,1,1,0,6,null,12,null,0,3,3,3,3,7,5,5,3,8,0,0,0,6,100.0,100.0,1,0,46036,25282,5600,24036,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561041,null,12000.0,12000,12000.0,60 months,30.84%,394.46,G,G2,Ultrasound tech,< 1 year,OWN,54000.0,Verified,Current,n,null,null,debt_consolidation,Debt consolidation,161xx,PA,30.56,2.0,Oct-2001,1,3,null,20,0,10901,32.3%,40.0,w,11825.67,11825.67,768.36,768.36,174.33,594.03,0.0,0.0,0.0,Aug-2017,394.46,Sep-2017,Aug-2017,0,41,1,INDIVIDUAL,null,null,null,0,350,60547,6,4,3,5,1,49646,76,6,8,4269,61,33700,0,12,2,13,3187,10913,42.3,0.0,0,154.0,187,3,1,1,3,41,6,3,0,5,9,7,12,14,16,25,9,20,0,0,0,9,90.0,14.3,0,0,98742,60547,18900,65042,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561042,null,12000.0,12000,12000.0,60 months,17.09%,298.82,D,D1,RN,4 years,RENT,100000.0,Verified,Current,n,null,null,vacation,Vacation,212xx,MD,16.94,0.0,Sep-2005,0,91,null,10,0,8036,44.6%,12.0,w,11742.34,11742.34,586.25,586.25,257.66,328.59,0.0,0.0,0.0,Aug-2017,298.82,Sep-2017,Aug-2017,0,91,1,INDIVIDUAL,null,null,null,0,198,70557,0,5,1,2,10,62521,73,0,1,4086,68,18000,1,0,1,3,7056,1464,84.6,0.0,0,140.0,120,17,10,0,28,null,10,91,1,2,2,2,2,6,5,6,2,10,0,0,0,1,91.7,100.0,0,0,104060,70557,9500,86060,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561043,null,16800.0,16800,16800.0,36 months,7.97%,526.22,A,A5,Coordinator,2 years,MORTGAGE,220000.0,Source Verified,Current,n,null,null,debt_consolidation,Debt consolidation,212xx,MD,3.87,1.0,May-1995,1,15,null,17,0,14773,42.2%,37.0,w,15967.97,15967.97,1037.56,1037.56,832.03,205.53,0.0,0.0,0.0,Aug-2017,526.22,Sep-2017,Aug-2017,0,15,1,INDIVIDUAL,null,null,null,0,0,21166,3,2,1,2,4,6393,65,3,3,5841,47,35000,1,0,1,5,1628,17327,45.0,0.0,0,73.0,264,3,3,1,3,15,4,15,2,6,8,8,14,4,15,32,8,17,0,0,1,4,86.1,28.6,0,0,44800,21166,31500,9800,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561044,null,24625.0,24625,24625.0,60 months,16.02%,599.1,C,C5,null,n/a,MORTGAGE,56000.0,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,852xx,AZ,20.62,2.0,Jul-2006,0,20,null,7,0,2544,54.1%,33.0,w,24080.68,24080.68,1154.37,1154.37,544.32,610.05,0.0,0.0,0.0,Aug-2017,599.1,Sep-2017,Aug-2017,0,27,1,INDIVIDUAL,null,null,null,0,0,208981,0,0,0,0,35,21761,62,0,0,1647,61,4700,0,3,0,0,29854,1956,56.5,0.0,0,128.0,120,43,35,4,47,20,null,20,1,2,2,4,8,16,5,13,2,7,0,0,0,0,87.9,25.0,0,0,250020,24305,4500,34898,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561045,null,12000.0,12000,12000.0,36 months,7.21%,371.68,A,A3,Management Analyst,10+ years,OWN,75000.0,Source Verified,Current,n,null,null,debt_consolidation,Debt consolidation,363xx,AL,6.42,0.0,Sep-1994,0,26,null,9,0,12863,81.4%,24.0,w,11399.04,11399.04,733.75,733.75,600.96,132.79,0.0,0.0,0.0,Aug-2017,371.68,Sep-2017,Aug-2017,0,29,1,INDIVIDUAL,null,null,null,0,0,13409,0,2,0,0,42,546,5,0,0,4718,50,15800,0,0,0,0,1676,894,91.5,0.0,0,272.0,118,49,42,0,49,30,18,29,3,3,6,4,7,9,7,15,6,9,0,0,0,0,85.7,100.0,0,0,26800,13409,10500,11000,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561046,null,9000.0,9000,9000.0,36 months,12.62%,301.61,C,C1,Medical assistant,6 years,RENT,40000.0,Source Verified,Current,n,null,null,house,Home buying,018xx,MA,34.35,0.0,May-2011,0,48,null,7,0,39,0.3%,11.0,w,8583.90,8583.9,590.6,590.6,416.1,174.5,0.0,0.0,0.0,Aug-2017,301.61,Sep-2017,Jul-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,49014,0,3,0,1,16,48975,48,0,1,39,37,11200,2,4,0,2,7002,4961,0.8,0.0,0,72.0,57,13,13,0,25,null,16,null,0,1,1,1,1,7,4,4,1,7,0,0,0,0,90.9,0.0,0,0,83291,49014,5000,72091,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561047,null,17000.0,17000,17000.0,60 months,20.00%,450.4,D,D4,Inpatient Medical Coder,1 year,RENT,62400.0,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,312xx,GA,29.0,0.0,Nov-2002,0,54,79,10,1,15022,62.3%,38.0,w,16663.08,16663.08,919.69,919.69,336.92,582.77,0.0,0.0,0.0,Aug-2017,450.4,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,106614,1,3,1,2,4,91592,93,0,1,3458,68,24100,0,5,0,3,11846,42,98.8,0.0,0,174.0,161,21,4,3,74,null,null,null,0,1,5,1,5,23,7,12,5,10,0,0,0,1,97.3,100.0,1,0,114779,106614,3500,90679,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561048,null,16800.0,16800,16800.0,60 months,15.05%,400.12,C,C4,Manager,10+ years,MORTGAGE,63000.0,Verified,Current,n,null,null,debt_consolidation,Debt consolidation,041xx,ME,33.2,0.0,Dec-2005,2,28,null,11,0,12828,48.4%,35.0,w,16418.78,16418.78,863.46,863.46,381.22,482.24,0.0,0.0,0.0,Aug-2017,400.12,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,332,199233,1,3,1,3,11,47367,73,2,5,4718,66,26500,1,5,9,9,19923,3802,65.4,0.0,0,118.0,137,4,4,3,16,null,4,78,0,2,4,3,11,8,7,24,4,11,0,0,0,4,97.1,66.7,0,0,234442,60195,11000,64942,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561049,null,15000.0,15000,15000.0,60 months,12.62%,338.39,C,C1,null,n/a,RENT,67000.0,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,076xx,NJ,17.25,0.0,Apr-1983,0,null,null,7,0,12619,64.1%,34.0,w,14636.82,14636.82,655.75,655.75,363.18,292.57,0.0,0.0,0.0,Aug-2017,338.39,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,12619,0,0,0,0,131,0,null,0,1,4729,64,19700,0,1,0,1,1803,2242,84.7,0.0,0,167.0,409,14,14,0,42,null,null,null,0,4,6,4,19,2,7,31,6,7,0,0,0,0,100.0,75.0,0,0,19700,12619,14700,0,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561050,null,6000.0,6000,6000.0,36 months,30.17%,255.27,F,F3,Employee,2 years,MORTGAGE,20000.0,Verified,Fully Paid,n,null,null,debt_consolidation,Debt consolidation,469xx,IN,33.61,0.0,Dec-2012,1,null,null,4,0,1281,47.4%,6.0,w,0.00,0.0,6070.3999999994,6070.4,6000.0,70.4,0.0,0.0,0.0,Jun-2017,6090.51,null,Jul-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,21636,0,1,0,1,18,20355,82,2,3,494,79,2700,8,1,9,4,5409,6,98.8,0.0,0,53.0,23,7,7,0,23,null,0,null,0,1,3,1,1,3,3,3,3,4,0,0,0,2,100.0,100.0,0,0,27407,21636,500,24707,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561051,null,25000.0,25000,25000.0,36 months,7.21%,774.34,A,A3,Senior Cybersecurity Analyst,10+ years,MORTGAGE,140000.0,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,361xx,AL,12.64,0.0,Feb-1980,2,33,null,18,0,22544,30.8%,39.0,w,23747.99,23747.99,1563.7,1563.7,1252.01,311.69,0.0,0.0,0.0,Aug-2017,774.34,Sep-2017,Aug-2017,1,33,1,INDIVIDUAL,null,null,null,0,496,427713,3,2,1,1,6,60082,82,2,6,13902,42,73100,1,2,2,7,28514,37980,31.6,0.0,0,181.0,447,1,1,4,1,null,2,null,0,5,8,6,19,4,12,29,8,18,0,0,0,3,97.2,16.7,0,0,545864,82626,55500,73248,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
